,Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y,Open,High,Low,Close,Adj Close,Volume,score
0,2018-10-02,313.950012,316.839996,299.149994,301.019989,301.019989,11743500,1190.959961,1209.959961,1186.630005,1200.109985,1200.109985,1687900,87.269997,87.349998,85.83000200000001,86.68,86.68,6488200,0.5
1,2018-10-04,293.950012,294.0,277.670013,281.829987,281.829987,9814200,1195.329956,1197.51001,1155.57605,1168.189941,1168.189941,2209500,86.389999,86.5,83.540001,84.339996,84.339996,9077900,1.5416666666666667
2,2018-10-05,274.649994,274.880005,260.0,261.950012,261.950012,17944500,1167.5,1173.5,1145.119995,1157.349976,1157.349976,1184300,84.209999,84.839996,82.32,83.18,83.18,10735800,1.6923076923076923
3,2018-10-08,264.519989,267.76001,249.0,250.559998,250.559998,13472700,1150.109985,1168.0,1127.364014,1148.969971,1148.969971,1932400,82.620003,82.889999,78.650002,80.550003,80.550003,16872200,1.1818181818181819
4,2018-10-09,255.25,266.769989,253.30000299999998,262.799988,262.799988,12060600,1146.150024,1154.349976,1137.5720210000002,1138.819946,1138.819946,1308700,80.650002,81.839996,79.440002,80.029999,80.029999,9332400,2.0
5,2018-10-10,264.609985,265.51001,247.770004,256.880005,256.880005,12815300,1131.079956,1132.170044,1081.130005,1081.219971,1081.219971,2675700,79.610001,79.910004,75.32,75.449997,75.449997,16920300,1.5
6,2018-10-11,257.52999900000003,262.25,249.02999900000003,252.229996,252.229996,8167700,1072.939941,1106.400024,1068.27002,1079.319946,1079.319946,2949000,76.809998,77.785004,74.660004,75.900002,75.900002,21006500,1.0
7,2018-10-12,261.0,261.98999,252.00999500000003,258.77999900000003,258.77999900000003,7201400,1108.0,1115.0,1086.4019779999999,1110.079956,1110.079956,2101300,79.120003,79.599998,77.790001,79.029999,79.029999,14131400,2.5
8,2018-10-15,259.059998,263.27999900000003,254.539993,259.589996,259.589996,6200000,1108.910034,1113.446045,1089.0,1092.25,1092.25,1372400,78.879997,79.139999,77.220001,77.230003,77.230003,8481100,1.75
9,2018-10-16,265.700012,277.380005,262.23999,276.589996,276.589996,9526400,1104.589966,1124.219971,1102.5,1121.280029,1121.280029,1928500,78.849998,80.910004,78.459999,80.610001,80.610001,10060000,2.4444444444444446
10,2018-10-17,282.399994,282.700012,265.799988,271.77999900000003,271.77999900000003,8655500,1126.459961,1128.98999,1102.189941,1115.689941,1115.689941,1467200,81.190002,81.389999,79.5,80.089996,80.089996,10022600,2.0
11,2018-10-18,269.290009,271.0,263.0,263.910004,263.910004,5421200,1121.839966,1121.839966,1077.089966,1087.969971,1087.969971,2094500,80.16999799999999,80.440002,77.360001,77.480003,77.480003,19748500,1.4666666666666666
12,2018-10-19,267.390015,269.660004,253.5,260.0,260.0,9375500,1093.369995,1110.359985,1087.75,1096.459961,1096.459961,1267600,83.75,86.16999799999999,82.91999799999999,84.779999,84.779999,34211900,0.5
13,2018-10-22,260.679993,261.859985,252.58999599999999,260.950012,260.950012,5600300,1103.060059,1112.22998,1091.0,1101.160034,1101.160034,1514200,84.860001,86.230003,83.570999,85.43,85.43,11254800,1.5454545454545454
14,2018-10-23,263.869995,297.929993,262.100006,294.140015,294.140015,19027800,1080.890015,1107.890015,1070.0,1103.689941,1103.689941,1848700,83.199997,87.800003,82.989998,87.57,87.57,14753800,3.0
15,2018-10-25,317.22000099999997,321.0,301.01001,314.859985,314.859985,20840700,1071.790039,1110.97998,1069.550049,1095.569946,1095.569946,2545800,84.239998,86.510002,83.559998,85.959999,85.959999,9267600,0.8888888888888888
16,2018-10-26,308.25,339.899994,306.649994,330.899994,330.899994,27425500,1037.030029,1106.530029,1034.089966,1071.469971,1071.469971,4187600,83.220001,85.660004,82.18,83.370003,83.370003,13969400,1.55
17,2018-10-29,337.47000099999997,347.160004,326.5,334.850006,334.850006,14486000,1082.469971,1097.040039,995.830017,1020.080017,1020.080017,3880700,84.739998,85.239998,78.989998,81.150002,81.150002,12918800,2.3333333333333335
18,2018-10-31,332.540009,342.0,329.100006,337.320007,337.320007,7624300,1059.810059,1091.939941,1057.0,1076.77002,1076.77002,2529800,82.370003,85.349998,82.300003,84.190002,84.190002,11191800,1.0
19,2018-11-01,338.26001,347.839996,334.730011,344.27999900000003,344.27999900000003,7991100,1075.800049,1083.974976,1062.459961,1070.0,1070.0,1461600,84.18,85.150002,83.57,85.040001,85.040001,5923900,1.6923076923076923
